Monza GRID
No.;Racenumber;Driver;Team;Car
1;4;Ashton;McLaren;MCL35
2;16;LECLERC;Ferrari;SF1000
3;77;BOTTAS;Mercedes;W11
4;44;HAMILTON;Mercedes;W11
5;33;VERSTAPPEN;Red Bull Racing;RB16
6;5;VETTEL;Ferrari;SF1000
7;23;ALBON;Red Bull Racing;RB16
8;31;OCON;Renault;RS20
9;18;STROLL;Racing Point;RP20
10;7;RÄIKKÖNEN;Alfa Romeo;C39
11;11;PEREZ;Racing Point;RP20
12;10;GASLY;Alpha Tauri;AT01
13;99;GIOVINAZZI;Alfa Romeo;C39
14;26;KVYAT;Alpha Tauri;AT01
15;8;GROSJEAN;Haas;VF20
16;20;MAGNUSSEN;Haas;VF20
17;3;RICCIARDO;Renault;RS20
18;63;RUSSELL;Williams;FW43
19;55;SAINZ;McLaren;MCL35
20;6;LATIFI;Williams;FW43

;Ashton Drivers lap statistics;;;;;;;;;;;;LECLERC Drivers lap statistics;;;;;;;;;;;;BOTTAS Drivers lap statistics;;;;;;;;;;;;HAMILTON Drivers lap statistics;;;;;;;;;;;;VERSTAPPEN Drivers lap statistics;;;;;;;;;;;;VETTEL Drivers lap statistics;;;;;;;;;;;;ALBON Drivers lap statistics;;;;;;;;;;;;OCON Drivers lap statistics;;;;;;;;;;;;STROLL Drivers lap statistics;;;;;;;;;;;;RÄIKKÖNEN Drivers lap statistics;;;;;;;;;;;;PEREZ Drivers lap statistics;;;;;;;;;;;;GASLY Drivers lap statistics;;;;;;;;;;;;GIOVINAZZI Drivers lap statistics;;;;;;;;;;;;KVYAT Drivers lap statistics;;;;;;;;;;;;GROSJEAN Drivers lap statistics;;;;;;;;;;;;MAGNUSSEN Drivers lap statistics;;;;;;;;;;;;RICCIARDO Drivers lap statistics;;;;;;;;;;;;RUSSELL Drivers lap statistics;;;;;;;;;;;;SAINZ Drivers lap statistics;;;;;;;;;;;;LATIFI Drivers lap statistics;;;;;;;;;;;;
;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;
1;32.8680000305176;30.42799949646;28.6747875213623;91.9707870483398;M;4;53.1;3756;74.64;15.51;275;324;30.2430000305176;28.9330005645752;28.4978733062744;87.6738739013672;S;6;54.6;4001;58.43;10.42;22;335;29.3889999389648;28.5069999694824;28.3350715637207;86.231071472168;S;6;54.3;4001;81.52;5.43;23;308;29.9060001373291;28.4930000305176;28.5082416534424;86.9072418212891;S;6;55;4000;58.87;8.02;24;332;30.0610008239746;28.94700050354;28.5028171539307;87.5108184814453;S;6;54;4000;59.87;8.63;21;331;29.2709999084473;28.3040008544922;28.3136863708496;85.8886871337891;S;6;51.2;4000;84.95;1.08;24;309;28.5699996948242;28.3349990844727;28.3284301757813;85.2334289550781;S;6;52.6;4000;91.30;1.09;23;310;32.0839996337891;30.4330005645752;29.1155300140381;91.6325302124023;S;6;52.8;4000;54.71;10.61;22;335;31.9440002441406;30.4230003356934;29.0818977355957;91.4488983154297;S;5;51;4002;55.31;10.35;24;333;33.193000793457;30.6110000610352;29.3757705688477;93.1797714233398;S;5;54.4;4000;52.25;9.37;29;333;31.1790008544922;29.3819999694824;29.0374412536621;89.5984420776367;S;5;53.6;4000;53.82;10.06;22;329;33.6119995117188;30.5949993133545;29.4454441070557;93.6524429321289;S;6;53.1;4000;53.59;10.86;27;333;33.4389991760254;30.5380001068115;29.4845027923584;93.4615020751953;S;5;51.3;4000;52.16;9.80;24;334;33.9580001831055;30.4549999237061;29.418924331665;93.8319244384766;S;6;50.5;4000;51.52;12.28;25;332;31.0550003051758;29.2530002593994;29.0349559783936;89.3429565429688;S;6;54;4000;59.38;7.19;24;325;31.6989994049072;30.5300006866455;29.117488861084;91.3464889526367;S;6;51.6;4000;57.38;8.71;25;327;32.5419998168945;30.2530002593994;28.9996776580811;91.794677734375;S;6;51.4;4002;54.52;12.05;28;333;34.2389984130859;30.6580009460449;29.5293235778809;94.4263229370117;S;6;53.8;4000;52.45;12.04;21;328;31.6700000762939;29.8209991455078;28.6445293426514;90.1355285644531;S;6;53.5;4000;60.33;7.14;24;331;33.0940017700195;30.6009998321533;29.6788463592529;93.3738479614258;S;5;55.8;4000;53.92;10.80;30;327;
2;28.3770008087158;30.6259994506836;28.3539257049561;87.3569259643555;M;8;51;3094;80.72;8.62;295;333;27.8250007629395;28.4009990692139;28.4334697723389;84.6594696044922;S;11;52.6;3669;69.80;3.22;27;336;27.2970008850098;28.3139991760254;28.2983856201172;83.9093856811523;S;11;52;3500;67.29;7.37;22;333;27.4619998931885;28.2220001220703;28.1559963226318;83.8399963378906;S;11;52.6;3590;67.67;3.62;17;333;28.0669994354248;28.8899993896484;28.3132801055908;85.2702789306641;S;10;51.6;3522;65.97;4.30;25;332;27.1420001983643;28.5909996032715;28.2849750518799;84.0179748535156;S;11;49.4;4001;68.70;5.36;18;330;27.6380004882813;28.3640003204346;28.2522258758545;84.2542266845703;S;10;50.1;4002;70.68;3.48;19;328;28.2290000915527;29.0779991149902;28.5712280273438;85.8782272338867;S;11;50.9;3949;66.10;3.29;27;334;28.6690006256104;31.4120006561279;30.0172500610352;90.0982513427734;S;10;49.1;4000;60.81;5.93;30;328;27.4659996032715;30.5939998626709;30.2130947113037;88.2730941772461;S;10;52.1;4000;62.07;5.83;31;332;28.0960006713867;29.1450004577637;30.4103126525879;87.6513137817383;S;10;51.2;4002;58.42;5.02;32;334;28.1909999847412;29.9810009002686;30.5015754699707;88.6735763549805;S;10;50.7;4001;59.93;8.16;25;338;28.1060009002686;30.05299949646;30.3330497741699;88.4920501708984;S;10;49.5;4000;61.49;7.82;26;336;28.4950008392334;29.7000007629395;30.7728939056396;88.9678955078125;S;10;48.6;4000;58.73;9.20;21;336;28.2409992218018;29.125;29.1058940887451;86.4718933105469;S;11;52.1;3946;67.80;3.15;23;325;28.6650009155273;29.6259994506836;29.1747512817383;87.4657516479492;S;11;49.8;4001;65.39;4.19;25;325;28.4729995727539;30.8819999694824;30.1333274841309;89.4883270263672;S;11;49.5;4002;62.57;5.96;41;337;28.3439998626709;29.8050003051758;30.2778720855713;88.426872253418;S;11;51.4;4002;58.29;8.65;24;325;27.6849994659424;29.0559997558594;30.2445659637451;86.9855651855469;S;10;51.2;4000;62.82;6.86;25;331;28.0650005340576;30.2129993438721;30.9711074829102;89.2491073608398;S;11;53.4;4000;61.22;7.52;30;331;
3;27.3959999084473;29.9080009460449;28.4542541503906;85.7582550048828;M;12;48.9;2699;81.37;8.33;271;329;27.5289993286133;28.5230007171631;28.4284076690674;84.4804077148438;S;16;50.7;3158;71.14;3.23;17;326;27.7749996185303;28.3320007324219;28.2211399078369;84.3281402587891;S;15;49.6;2819;65.88;7.97;24;334;27.6949996948242;28.4680004119873;28.2600803375244;84.4230804443359;S;15;50.2;2552;65.42;4.60;19;331;27.6259994506836;28.4629993438721;28.3432521820068;84.4322509765625;S;15;49.2;2510;66.42;4.23;19;329;27.6459999084473;28.4540004730225;28.2830562591553;84.383056640625;S;15;47.5;3259;67.75;6.10;19;334;27.6459999084473;28.4379997253418;28.4110870361328;84.4950866699219;S;15;47.7;2894;69.81;3.48;18;321;28.201000213623;28.8269996643066;28.6390686035156;85.6670684814453;S;16;49;3629;68.38;2.57;23;337;28.4440002441406;29.0480003356934;28.6623268127441;86.1543273925781;S;14;47.3;3516;66.22;8.41;24;332;28.3680000305176;28.8980007171631;28.6138973236084;85.8798980712891;S;15;50.2;3691;66.83;4.65;22;332;28.8320007324219;29.4449996948242;28.7848281860352;87.0618286132813;S;14;49.3;3348;64.01;4.83;23;331;28.19700050354;29.1280002593994;28.6837577819824;86.0087585449219;S;15;48.3;3301;63.40;8.45;22;333;28.2830009460449;29.1620006561279;28.7029781341553;86.1479797363281;S;15;47.7;3587;64.22;5.86;19;332;28.9570007324219;28.9629993438721;28.8765544891357;86.7965545654297;S;15;46.8;3322;64.04;8.23;25;329;28.0590000152588;29.3299999237061;29.0694961547852;86.45849609375;S;16;49.7;1968;67.56;3.16;18;316;27.818000793457;30.6359996795654;29.0136966705322;87.4676971435547;S;16;47.9;3629;64.78;3.85;19;327;27.8120002746582;28.5849990844727;28.7082405090332;85.1052398681641;S;16;47.6;3211;68.11;4.70;20;331;29.1560001373291;29.1569995880127;29.1533851623535;87.4663848876953;S;16;49;2992;61.42;6.61;22;327;28.7059993743896;29.0750007629395;28.7338314056396;86.5148315429688;S;15;49.4;3423;65.13;4.25;22;329;28.5599994659424;29.2479991912842;29.0371246337891;86.8451232910156;S;15;51;3671;64.29;6.05;18;328;
4;27.1520004272461;28.7889995574951;29.143045425415;85.0840454101563;M;17;46.8;2764;81.01;8.14;324;335;27.6429996490479;28.8199996948242;28.4303722381592;84.8933715820313;S;21;48.9;2635;68.11;4.82;17;330;28.6259994506836;28.875;28.3130874633789;85.8140869140625;S;20;47.7;3477;67.97;2.93;29;343;28.0839996337891;29.5380001068115;28.3973178863525;86.0193176269531;S;20;47.8;2854;60.32;7.33;20;336;27.6690006256104;28.7280006408691;28.3883991241455;84.785400390625;S;20;46.8;2900;63.86;7.05;22;337;28.3600006103516;28.4340000152588;28.3565578460693;85.1505584716797;S;20;45.2;2354;68.60;2.96;24;335;29.1429996490479;29.3490009307861;28.4699287414551;86.9619293212891;S;20;45.8;2501;67.75;4.35;28;331;27.8490009307861;28.7999992370605;28.6267566680908;85.2757568359375;S;21;46.9;2499;67.36;4.56;20;334;27.6259994506836;28.7670001983643;28.9008235931396;85.2938232421875;S;19;45.4;3287;66.38;6.90;20;339;27.3990001678467;29.0230007171631;28.957088470459;85.3790893554688;S;19;47.8;3214;64.13;5.77;24;341;27.5769996643066;28.8490009307861;28.8789005279541;85.3049011230469;S;19;46.9;3096;63.71;4.80;19;335;27.8309993743896;28.5610008239746;29.6634197235107;86.055419921875;S;20;45.9;3489;63.58;7.19;22;340;27.6790008544922;28.9150009155273;29.5833358764648;86.1773376464844;S;20;45.8;3702;66.18;4.99;22;340;28.1490001678467;29.9790000915527;28.879415512085;87.0074157714844;S;20;44.9;3566;65.38;4.10;27;339;28.0069999694824;29.1599998474121;28.8886032104492;86.0556030273438;S;21;47.3;3906;65.98;3.05;18;324;28.0709991455078;29.1840000152588;29.3577938079834;86.61279296875;S;21;46;2765;64.61;4.85;22;329;27.451000213623;28.7490005493164;28.4593925476074;84.6593933105469;S;21;45.8;3023;70.01;3.10;18;335;27.8159999847412;30.0480003356934;29.6893444061279;87.5533447265625;S;21;46.6;3783;62.11;6.12;21;337;27.7439994812012;28.867000579834;28.615592956543;85.2265930175781;S;20;47.1;2623;65.64;7.76;19;335;28.2600002288818;30.431999206543;30.0249500274658;88.7169494628906;S;20;48.5;3523;60.99;4.96;28;330;
5;27.4029998779297;28.7549991607666;29.5789699554443;85.7369689941406;M;21;44.7;2857;81.05;7.33;263;336;27.5330009460449;28.6499996185303;28.4182872772217;84.6012878417969;S;26;46.6;2342;66.54;5.82;20;339;27.3600006103516;28.3659992218018;28.2428722381592;83.9688720703125;S;25;45.3;2340;68.29;3.62;17;334;27.2509994506836;28.6219997406006;28.4074268341064;84.2804260253906;S;25;45.4;2791;66.04;3.36;19;341;27.8740005493164;28.6340007781982;28.4025211334229;84.9105224609375;S;25;44.4;2683;63.83;4.81;18;338;27.6049995422363;28.4950008392334;28.3539791107178;84.4539794921875;S;25;42.7;2771;68.45;3.23;18;327;27.9409999847412;28.6809997558594;28.5137424468994;85.1357421875;S;25;44;2714;69.09;5.79;19;333;27.30299949646;28.8430004119873;28.5822715759277;84.728271484375;S;26;44.5;2223;68.48;3.09;19;336;28.2730007171631;29.3169994354248;28.8379783630371;86.427978515625;S;24;43.6;2935;64.73;7.15;26;333;28.4370002746582;29.2019996643066;28.8816604614258;86.5206604003906;S;24;45.9;2902;66.42;3.27;23;321;27.6119995117188;28.9990005493164;30.1987838745117;86.8097839355469;S;23;44.5;3326;59.23;4.34;27;335;27.4190006256104;29.496000289917;28.7539443969727;85.6689453125;S;25;43.6;3281;65.12;7.59;22;335;28.1119995117188;29.4599990844727;28.9781112670898;86.5501098632813;S;24;43.9;2325;64.04;7.51;19;330;28.0620002746582;29.1539993286133;28.9597816467285;86.17578125;S;24;43;1972;68.00;2.68;19;319;28.1280002593994;29.3199996948242;29.3445110321045;86.7925109863281;S;26;45.4;2897;65.70;4.59;17;320;28.7549991607666;29.5340003967285;29.3734149932861;87.6624145507813;S;25;44.1;2798;62.60;6.81;19;330;27.5799999237061;28.7749996185303;28.8977470397949;85.2527465820313;S;26;43.9;3121;66.54;2.71;23;333;28.0690002441406;29.3150005340576;29.2114582061768;86.595458984375;S;26;44.2;2987;65.86;3.03;19;321;27.8880004882813;28.9759998321533;28.6633739471436;85.5273742675781;S;25;44.7;2721;65.81;6.13;20;342;28.2210006713867;29.3920001983643;29.3016109466553;86.9146118164063;S;25;46.1;2302;63.33;4.83;18;333;
6;27.613000869751;28.6499996185303;28.369384765625;84.6323852539063;M;25;42.6;3207;79.78;9.44;287;334;27.1100006103516;28.7070007324219;28.3994598388672;84.2164611816406;S;31;44.2;2559;100.00;1.09;4;337;28.0069999694824;28.7409992218018;28.4690723419189;85.2170715332031;S;31;43.4;2665;100.00;1.09;8;335;27.5389995574951;28.6860008239746;28.4030818939209;84.6280822753906;S;29;43.5;3603;100.00;1.08;2;332;27.6189994812012;28.636999130249;28.4797496795654;84.7357482910156;S;29;42;2725;100.00;1.09;19;337;28.1520004272461;28.57200050354;28.4204082489014;85.1444091796875;S;30;40.3;2575;100.00;1.09;3;324;27.988000869751;28.798999786377;28.5563526153564;85.3433532714844;S;29;42.1;2593;100.00;1.09;7;324;27.7999992370605;29.0599994659424;28.6905078887939;85.5505065917969;S;31;42.1;1920;67.77;2.75;18;323;28.3080005645752;29.1730003356934;28.9190235137939;86.4000244140625;S;28;41.7;2644;65.87;6.11;24;331;28.3439998626709;29.1009998321533;28.8805923461914;86.3255920410156;S;29;43.7;2619;66.09;2.94;24;321;28.2099990844727;29.0219993591309;28.783504486084;86.0155029296875;S;28;42.1;2266;62.43;5.37;19;338;27.8819999694824;29.326000213623;28.9018630981445;86.10986328125;S;31;41.2;2328;64.70;8.31;20;339;28.2980003356934;29.4750003814697;29.0931491851807;86.8661499023438;S;29;42.1;2458;65.91;7.49;26;337;28.0779991149902;29.2369995117188;28.9913673400879;86.3063659667969;S;29;41.2;1969;70.41;2.73;16;319;27.886999130249;29.0310001373291;29.1927795410156;86.1107788085938;S;31;43;2817;62.91;4.05;18;330;28.4529991149902;29.3150005340576;29.0623531341553;86.8303527832031;S;31;41.6;2756;66.45;3.04;24;331;27.8470001220703;28.8379993438721;28.6315593719482;85.3165588378906;S;31;42.1;2305;67.48;5.84;20;337;28.3799991607666;29.4190006256104;29.3479118347168;87.1469116210938;S;30;42.3;2604;69.73;2.49;19;316;27.9069995880127;29.1229991912842;28.7680969238281;85.798095703125;S;29;42.7;3233;66.74;3.18;19;327;28.0200004577637;29.6040000915527;29.3983688354492;87.0223693847656;S;29;43.7;2197;64.90;5.09;19;333;
7;27.5610008239746;28.9340000152588;28.7075138092041;85.2025146484375;M;29;40.5;2419;79.46;9.20;288;337;27.5590000152588;28.5900001525879;28.4217700958252;84.5707702636719;S;36;41.8;2700;62.26;5.54;21;340;27.5580005645752;28.5699996948242;28.4518337249756;84.579833984375;S;36;41.1;2228;64.29;6.67;20;336;27.5659999847412;28.5629997253418;28.3481121063232;84.4771118164063;S;34;41.2;2413;62.10;4.98;19;333;27.423999786377;28.8169994354248;28.4787273406982;84.7197265625;S;34;39.6;3436;64.37;3.04;23;336;27.5849990844727;28.6000003814697;28.4286785125732;84.6136779785156;S;35;37.9;2699;66.37;3.50;20;328;28.0690002441406;28.7049999237061;28.5170764923096;85.2910766601563;S;34;39.8;2193;65.36;6.50;23;330;27.7679996490479;28.7880001068115;28.7157287597656;85.271728515625;S;36;39.7;2555;65.13;3.03;20;323;28.0629997253418;28.9309997558594;28.7306098937988;85.724609375;S;33;39.5;2718;69.34;2.34;24;333;28.5979995727539;29.2180004119873;28.8330478668213;86.6490478515625;S;34;41.8;2747;67.51;3.43;21;331;27.576000213623;29.5030002593994;29.1021518707275;86.18115234375;S;32;39.7;2240;59.38;7.21;23;332;28.2709999084473;29.2819995880127;28.801736831665;86.354736328125;S;36;38.8;2558;65.85;6.76;20;339;27.6119995117188;29.132999420166;28.8166465759277;85.5616455078125;S;34;39.9;2524;69.39;3.91;21;338;28.0100002288818;28.9659996032715;29.0249767303467;86.0009765625;S;34;39.3;3077;67.07;3.00;16;327;28.3759994506836;29.2980003356934;29.2191276550293;86.8931274414063;S;36;40.5;2764;61.78;2.97;30;330;28.4599990844727;29.576000213623;29.2190055847168;87.2550048828125;S;36;39.2;2354;66.52;4.61;19;326;28.0900001525879;29.3430004119873;28.9317455291748;86.36474609375;S;36;40;2814;60.80;6.53;30;339;28.3080005645752;29.378999710083;29.2638664245605;86.9508666992188;S;35;40.1;2578;68.06;2.42;18;315;28.8320007324219;29.0209999084473;28.8332176208496;86.6862182617188;S;34;40.8;2294;63.58;3.42;24;326;28.2350006103516;29.3759994506836;29.3172225952148;86.92822265625;S;34;41.3;2958;63.11;5.29;21;335;
8;27.4769992828369;28.6019992828369;28.4366874694824;84.5156860351563;M;34;38.5;2987;82.48;7.95;262;324;27.576000213623;28.9570007324219;28.5387153625488;85.0717163085938;S;41;39.4;2899;63.33;6.54;22;338;27.8840007781982;28.5739994049072;28.4235916137695;84.881591796875;S;40;38.7;3307;67.20;2.72;22;343;27.7910003662109;28.9740009307861;28.4197521209717;85.1847534179688;S;39;38.8;2664;63.38;6.66;20;340;28.5020008087158;28.9340000152588;28.6803321838379;86.1163330078125;S;39;37.6;2666;66.83;2.68;23;320;28.4200000762939;28.9309997558594;28.4752330780029;85.8262329101563;S;40;35.9;2722;66.75;4.28;23;334;28.2940006256104;29.0869998931885;28.6843681335449;86.0653686523438;S;39;37.9;2591;66.34;5.37;26;340;27.7840003967285;28.8299999237061;28.6809825897217;85.2949829101563;S;41;37.3;2792;67.86;3.45;18;323;27.943000793457;28.9540004730225;28.8434162139893;85.7404174804688;S;38;37.5;2551;68.87;3.31;17;320;27.7159996032715;29.0879993438721;28.8435840606689;85.6475830078125;S;38;39.5;2412;63.97;5.51;19;336;27.8689994812012;29.0450000762939;28.9444599151611;85.8584594726563;S;37;37.3;2924;60.71;6.36;20;338;27.8509998321533;28.9570007324219;28.9566478729248;85.7646484375;S;40;36.8;2979;64.75;5.51;18;339;27.5729999542236;29.0879993438721;28.879711151123;85.5407104492188;S;38;37.5;2818;63.14;4.67;19;336;28.0400009155273;29.3059997558594;29.3234939575195;86.6694946289063;S;38;37.5;2857;62.59;6.78;23;336;27.875;29.2229995727539;29.0860214233398;86.1840209960938;S;41;38.1;2668;65.29;4.75;17;333;28.1919994354248;29.4479999542236;29.5691070556641;87.2091064453125;S;41;37.2;3149;65.06;3.37;22;321;27.3850002288818;28.9069995880127;28.7332077026367;85.0252075195313;S;41;37.6;2517;65.88;4.57;18;336;29.0590000152588;29.9699993133545;29.4846725463867;88.513671875;S;40;38.2;2471;62.99;5.93;23;325;27.8980007171631;29.1529998779297;28.9163455963135;85.9673461914063;S;39;38.9;2910;66.30;3.30;17;332;28.4389991760254;29.8490009307861;29.3374881744385;87.62548828125;S;40;38.8;3163;64.55;2.87;25;338;
9;27.5580005645752;28.5179996490479;28.7241706848145;84.8001708984375;M;38;36.5;3243;81.31;8.79;272;330;27.9009990692139;28.6909999847412;28.5761528015137;85.1681518554688;S;46;37;2860;64.04;7.14;23;340;27.55299949646;28.798999786377;28.4312038421631;84.783203125;S;45;36.3;2543;68.81;2.85;19;326;27.9829998016357;28.7159996032715;28.5505123138428;85.24951171875;S;44;36.3;2449;64.45;7.01;20;341;28.3780002593994;28.9640007019043;28.727029800415;86.0690307617188;S;43;35.8;2348;66.10;5.24;19;326;27.9860000610352;28.7530002593994;28.6058483123779;85.3448486328125;S;45;34.1;2700;68.88;3.94;18;336;27.5930004119873;28.9139995574951;28.7722969055176;85.279296875;S;44;36;3091;69.74;2.71;20;336;27.7029991149902;28.7590007781982;28.7465572357178;85.2085571289063;S;46;34.9;3375;66.50;2.71;19;329;28.121000289917;29.0459995269775;29.1118087768555;86.27880859375;S;42;35.6;2625;66.79;3.04;19;320;27.9340000152588;29.2240009307861;28.8576240539551;86.015625;S;43;37.1;2769;64.22;5.98;20;341;27.617000579834;29.128999710083;28.7804279327393;85.5264282226563;S;41;34.9;2669;63.80;3.07;20;335;28;29.1439990997314;28.8994579315186;86.04345703125;S;45;35;3178;66.18;6.11;17;337;27.8810005187988;29.0419998168945;28.9598121643066;85.8828125;S;43;35.1;2948;62.88;6.11;19;338;27.9190006256104;29.3579998016357;28.9731826782227;86.2501831054688;S;43;35.2;2433;65.69;3.16;19;331;28.2549991607666;29.3419990539551;29.2090930938721;86.8060913085938;S;46;35.6;1912;66.14;5.80;18;326;28.4099998474121;29.5750007629395;29.4600067138672;87.4450073242188;S;45;35.3;1956;65.35;4.20;18;322;27.4839992523193;28.9869995117188;28.7304782867432;85.2014770507813;S;46;35.6;2473;68.47;2.71;20;335;28.1089992523193;29.4489994049072;29.3726043701172;86.9306030273438;S;45;35.9;2293;63.29;6.76;17;330;28.2520008087158;29.2280006408691;28.9849033355713;86.4649047851563;S;43;37;2225;65.29;4.98;17;326;28.0709991455078;29.4759998321533;29.4248027801514;86.9718017578125;S;44;36.4;3313;66.06;2.90;17;324;
